stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,fsa_stop_id,fsa_stop_routes
TPK,"Tufnell Park",,,,,TPK,N
HOL,"Holborn",,,,,HOL,C;P
CWR,"Canada Water",,,,,CWR,J
FPK,"Finsbury Park",,,,,FPK,P;V
SJW,"St. John's Wood",,,,,SJW,J
HPK,"Holland Park",,,,,HPK,C
KTN,"Kentish Town",,,,,KTN,N
STP,"St. Paul's",,,,,STP,C
HPC,"Hyde Park Corner",,,,,HPC,P
CWD,"Chorleywood",,,,,CWD,M
CWF,"Canary Wharf",,,,,CWF,J
CHP,"Chiswick Park",,,,,CHP,D
BHL,"Buckhurst Hill",,,,,BHL,C
WCT,"White City",,,,,WCT,C
WKN,"West Kensington",,,,,WKN,D
SWF,"South Woodford",,,,,SWF,C
CFS,"Cockfosters",,,,,CFS,P
ARC,"Archway",,,,,ARC,N
BHR,"Blackhorse Road",,,,,BHR,V
ARL,"Arsenal",,,,,ARL,P
EBY,"Ealing Broadway",,,,,EBY,C;D
GFD,"Greenford",,,,,GFD,C
KGN,"Kensal Green",,,,,KGN,B
